DATE_yrmo,H_TAVG_CELS,Month,S_TAVG_CELS,temp_difference
195901,-5.15,1.00,,
195902,-2.36,2.00,,
195903,0.32,3.00,,
195904,3.87,4.00,,
195905,9.70,5.00,5.26,-4.44
195906,15.07,6.00,11.16,-3.91
195907,17.83,7.00,12.75,-5.08
195908,16.97,8.00,11.42,-5.55
195909,8.81,9.00,3.80,-5.01
195910,4.77,10.00,-2.02,-6.79
195911,1.41,11.00,-7.10,-8.51
195912,-5.15,12.00,-13.23,-8.08
196001,-10.23,1.00,-19.12,-8.89
196002,-8.93,2.00,-18.43,-9.50
196003,-4.59,3.00,-7.18,-2.59
196004,1.85,4.00,-1.28,-3.13
196005,10.98,5.00,7.38,-3.60
196006,16.28,6.00,11.19,-5.09
196007,18.07,7.00,16.96,-1.11
196008,15.11,8.00,12.00,-3.11
196009,10.11,9.00,5.89,-4.22
196010,3.28,10.00,-6.51,-9.79
196011,-0.69,11.00,-10.27,-9.58
196012,-0.32,12.00,-11.86,-11.54
196101,-3.65,1.00,-11.18,-7.53
196102,-0.36,2.00,-12.69,-12.33
196103,0.36,3.00,-8.31,-8.67
196104,2.63,4.00,-6.60,-9.23
196105,9.89,5.00,2.77,-7.12
196106,17.00,6.00,13.48,-3.52
196107,15.86,7.00,14.78,-1.08
196108,14.18,8.00,10.75,-3.43
196109,9.72,9.00,6.05,-3.67
196110,8.66,10.00,4.96,-3.70
196111,1.72,11.00,-4.02,-5.74
196112,-5.07,12.00,-14.95,-9.88
196201,-3.66,1.00,-15.42,-11.76
196202,-5.20,2.00,-12.75,-7.55
196203,-7.49,3.00,-18.66,-11.17
196204,3.78,4.00,-1.20,-4.98
196205,8.58,5.00,3.07,-5.51
196206,12.04,6.00,8.42,-3.62
196207,14.62,7.00,10.27,-4.35
196208,13.03,8.00,8.57,-4.46
196209,9.37,9.00,5.15,-4.22
196210,6.79,10.00,-1.51,-8.30
196211,1.50,11.00,-4.02,-5.52
196212,-6.81,12.00,-18.06,-11.25
196301,-9.89,1.00,-18.15,-8.26
196302,-10.83,2.00,-18.13,-7.30
196303,-8.73,3.00,-15.82,-7.09
196304,2.81,4.00,-2.24,-5.05
196305,13.21,5.00,9.65,-3.56
196306,14.83,6.00,8.29,-6.54
196307,16.88,7.00,12.24,-4.64
196308,16.34,8.00,11.36,-4.98
196309,12.63,9.00,7.95,-4.68
196310,6.02,10.00,0.16,-5.86
196311,-0.19,11.00,-7.31,-7.12
196312,-4.14,12.00,-13.71,-9.57
196401,,1.00,-9.67,
196402,,2.00,-17.30,
196403,,3.00,-10.75,
196404,,4.00,-4.35,
196405,,5.00,4.93,
196406,,6.00,9.31,
196407,,7.00,13.46,
196408,,8.00,10.83,
196409,,9.00,4.50,
196410,,10.00,2.19,
196411,,11.00,-9.61,
196412,,12.00,-12.70,
196501,,1.00,-13.50,
196502,,2.00,-14.05,
196503,,3.00,-13.53,
196504,,4.00,-3.57,
196505,,5.00,0.46,
196506,,6.00,9.83,
196507,,7.00,10.88,
196508,,8.00,9.78,
196509,,9.00,6.25,
196510,,10.00,-1.95,
196511,,11.00,-12.00,
196512,,12.00,-15.99,
196601,,1.00,-22.02,
196602,,2.00,-24.41,
196603,,3.00,-17.60,
196604,,4.00,-5.60,
196605,,5.00,2.88,
196606,,6.00,11.59,
196607,,7.00,13.24,
196608,,8.00,9.32,
196609,,9.00,3.02,
196610,,10.00,-4.20,
