DATE,DATE_yrmo,ELEVATION,LATITUDE,LONGITUDE,Month,PRCP,TAVG,TAVG_CELS,TMAX,TMIN,TAVG_CELS_59_87,temp_anomalies
19590116.00,195901,240.00,67.82,27.75,1.00,0.04,,,,-5.00,-16.62,
19590214.50,195902,240.00,67.82,27.75,2.00,0.02,,,,12.00,-15.95,
19590316.00,195903,240.00,67.82,27.75,3.00,0.02,,,,15.00,-10.76,
19590415.50,195904,240.00,67.82,27.75,4.00,0.02,,,,10.83,-4.01,
19590516.00,195905,240.00,67.82,27.75,5.00,0.02,41.47,5.26,49.94,33.00,3.57,1.69
19590615.50,195906,240.00,67.82,27.75,6.00,0.02,52.08,11.16,61.77,42.40,10.14,1.02
19590716.00,195907,240.00,67.82,27.75,7.00,0.08,54.95,12.75,65.93,44.06,12.92,-0.17
19590816.00,195908,240.00,67.82,27.75,8.00,0.09,52.56,11.42,63.23,41.90,10.43,0.99
19590915.50,195909,240.00,67.82,27.75,9.00,0.06,38.83,3.80,45.77,31.90,5.17,-1.37
19591016.00,195910,240.00,67.82,27.75,10.00,0.03,28.37,-2.02,35.16,21.58,-1.29,-0.72
19591115.50,195911,240.00,67.82,27.75,11.00,0.06,19.22,-7.10,25.27,13.17,-8.14,1.04
19591216.00,195912,240.00,67.82,27.75,12.00,0.03,8.19,-13.23,15.45,0.94,-13.96,0.74
19600116.00,196001,240.00,67.82,27.75,1.00,0.03,-2.42,-19.12,8.81,-13.65,-16.62,-2.50
19600215.00,196002,240.00,67.82,27.75,2.00,0.02,-1.17,-18.43,10.41,-12.76,-15.95,-2.48
19600316.00,196003,240.00,67.82,27.75,3.00,0.02,19.08,-7.18,27.68,10.48,-10.76,3.58
19600415.50,196004,240.00,67.82,27.75,4.00,0.03,29.70,-1.28,38.33,21.07,-4.01,2.73
19600516.00,196005,240.00,67.82,27.75,5.00,0.02,45.29,7.38,54.65,35.94,3.57,3.81
19600615.50,196006,240.00,67.82,27.75,6.00,0.06,52.13,11.19,61.70,42.57,10.14,1.05
19600716.00,196007,240.00,67.82,27.75,7.00,0.06,62.53,16.96,73.55,51.52,12.92,4.04
19600816.00,196008,240.00,67.82,27.75,8.00,0.07,53.60,12.00,61.90,45.29,10.43,1.57
19600915.50,196009,240.00,67.82,27.75,9.00,0.03,42.60,5.89,48.40,36.80,5.17,0.72
19601016.00,196010,240.00,67.82,27.75,10.00,0.01,20.29,-6.51,28.68,11.90,-1.29,-5.21
19601115.50,196011,240.00,67.82,27.75,11.00,0.03,13.52,-10.27,20.83,6.20,-8.14,-2.13
19601216.00,196012,240.00,67.82,27.75,12.00,0.04,10.65,-11.86,20.10,1.19,-13.96,2.10
19610116.00,196101,240.00,67.82,27.75,1.00,0.02,11.87,-11.18,17.71,6.03,-16.62,5.44
